"id","journal","date","annee","pages","format_mm"
lematin_18871026,Le Matin,1887-10-26,1887,2,432x615
lematin_18871027,Le Matin,1887-10-27,1887,2,434x616
lematin_18871028,Le Matin,1887-10-28,1887,2,432x615
lematin_18871029,Le Matin,1887-10-29,1887,2,433x615
lematin_18871030,Le Matin,1887-10-30,1887,2,432x615
lematin_18871031,Le Matin,1887-10-31,1887,2,435x617
lematin_18871101,Le Matin,1887-11-01,1887,2,431x615
lematin_18871102,Le Matin,1887-11-02,1887,2,436x616
lematin_18871103,Le Matin,1887-11-03,1887,2,440x616
lematin_18871104,Le Matin,1887-11-04,1887,2,432x615
lematin_18871105,Le Matin,1887-11-05,1887,2,433x616
lematin_18871106,Le Matin,1887-11-06,1887,2,432x615
lematin_18871107,Le Matin,1887-11-07,1887,2,435x615
lematin_18871108,Le Matin,1887-11-08,1887,2,433x616
lematin_18871109,Le Matin,1887-11-09,1887,2,433x617
lematin_18871110,Le Matin,1887-11-10,1887,2,432x616
lematin_18871111,Le Matin,1887-11-11,1887,2,436x615
lematin_18871112,Le Matin,1887-11-12,1887,2,432x615
lematin_18871113,Le Matin,1887-11-13,1887,2,433x616
lematin_18871114,Le Matin,1887-11-14,1887,2,436x616
lematin_18871115,Le Matin,1887-11-15,1887,2,434x615
lematin_18871116,Le Matin,1887-11-16,1887,2,435x617
lematin_18871117,Le Matin,1887-11-17,1887,2,432x615
lematin_18871118,Le Matin,1887-11-18,1887,2,434x617
lematin_18871119,Le Matin,1887-11-19,1887,2,433x616
lematin_18871120,Le Matin,1887-11-20,1887,2,433x616
lematin_18871121,Le Matin,1887-11-21,1887,2,432x616
lematin_18871122,Le Matin,1887-11-22,1887,2,434x617
lematin_18871123,Le Matin,1887-11-23,1887,2,432x615
lematin_18871124,Le Matin,1887-11-24,1887,2,432x615
lematin_18871125,Le Matin,1887-11-25,1887,2,432x615
lematin_18871126,Le Matin,1887-11-26,1887,2,433x616
lematin_18871127,Le Matin,1887-11-27,1887,2,432x616
lematin_18871128,Le Matin,1887-11-28,1887,2,432x616
lematin_18871129,Le Matin,1887-11-29,1887,2,433x615
lematin_18871130,Le Matin,1887-11-30,1887,2,431x619
lematin_18871201,Le Matin,1887-12-01,1887,2,432x617
lematin_18871202,Le Matin,1887-12-02,1887,2,432x615
lematin_18871203,Le Matin,1887-12-03,1887,2,431x618
lematin_18871204,Le Matin,1887-12-04,1887,2,431x618
lematin_18871205,Le Matin,1887-12-05,1887,2,434x616
lematin_18871206,Le Matin,1887-12-06,1887,2,433x615
lematin_18871207,Le Matin,1887-12-07,1887,2,434x617
lematin_18871208,Le Matin,1887-12-08,1887,2,435x617
lematin_18871209,Le Matin,1887-12-09,1887,2,433x618
lematin_18871210,Le Matin,1887-12-10,1887,2,433x615
lematin_18871211,Le Matin,1887-12-11,1887,2,432x616
lematin_18871212,Le Matin,1887-12-12,1887,2,431x615
lematin_18871213,Le Matin,1887-12-13,1887,2,434x615
lematin_18871214,Le Matin,1887-12-14,1887,2,430x615
lematin_18871215,Le Matin,1887-12-15,1887,2,432x615
lematin_18871216,Le Matin,1887-12-16,1887,2,430x616
lematin_18871217,Le Matin,1887-12-17,1887,2,431x615
lematin_18871218,Le Matin,1887-12-18,1887,2,432x617
lematin_18871219,Le Matin,1887-12-19,1887,2,430x617
lematin_18871220,Le Matin,1887-12-20,1887,2,430x618
lematin_18871221,Le Matin,1887-12-21,1887,2,428x616
lematin_18871222,Le Matin,1887-12-22,1887,2,429x616
lematin_18871223,Le Matin,1887-12-23,1887,2,432x617
lematin_18871224,Le Matin,1887-12-24,1887,2,429x615
lematin_18871225,Le Matin,1887-12-25,1887,2,429x614
lematin_18871226,Le Matin,1887-12-26,1887,2,431x616
lematin_18871227,Le Matin,1887-12-27,1887,2,432x615
lematin_18871228,Le Matin,1887-12-28,1887,2,435x614
lematin_18871229,Le Matin,1887-12-29,1887,2,434x614
lematin_18871230,Le Matin,1887-12-30,1887,2,423x617
lematin_18871231,Le Matin,1887-12-31,1887,2,431x615
